sum,rhythm
17314,all-day
-15075,all-day
3746,all-day
4079,all-day
684,all-day
943,all-day
5552,all-day
2230,all-day
-4995,all-day
7344,all-day
2235,all-day
5841,all-day
10410,all-day
1571,all-day
5429,all-day
483,all-day
18370,all-day
136,all-day
4749,all-day
13945,all-day
-18311,all-day
13945,all-day
-3132,all-day
7135,all-day
6897,all-day
14182,all-day
1324,all-day
565,all-day
1450,all-day
-1882,all-day
133,all-day
670,all-day
6451,all-day
1035,all-day
219,all-day
448,all-day
2518,all-day
1055,all-day
1470,all-day
1360,all-day
-974,all-day
171,all-day
210,all-day
194,all-day
826,all-day
260,all-day
60,all-day
1007,all-day
887,all-day
107,all-day
481,all-day
576,all-day
493,all-day
-223,all-day
2814,all-day
9286,all-day
3549,all-day
17419,all-day
461,all-day
194,all-day
-55,all-day
219,all-day
541,all-day
89,all-day
1541,all-day
4089,all-day
-3012,all-day
580,all-day
-12,all-day
22107,all-day
-69105,all-day
925,all-day
260,all-day
328,all-day
2440,all-day
384,all-day
695,all-day
5651,all-day
65,all-day
2028,all-day
1593,all-day
269,all-day
9430,all-day
172,all-day
8510,all-day
-622,all-day
811,all-day
6376,all-day
10630,all-day
6162,all-day
1328,all-day
1539,all-day
4025,all-day
2165,all-day
2036,all-day
4226,all-day
24082,all-day
2155,all-day
632,all-day
476,all-day
803,all-day
630,all-day
484,all-day
2199,all-day
8510,all-day
8630,all-day
2455,all-day
6040,all-day
-1751,all-day
5791,all-day
1329,all-day
4649,all-day
2274,all-day
-499,all-day
531,all-day
1447,all-day
1621,all-day
-12248,all-day
1700,all-day
981,all-day
2047,all-day
3332,all-day
3209,all-day
1057,all-day
3402,all-day
730,all-day
-70,all-day
-12,all-day
67,all-day
60,all-day
221,all-day
514,all-day
118,all-day
37,all-day
242,all-day
1201,all-day
178,all-day
846,all-day
808,all-day
311,all-day
335,all-day
247,all-day
450,all-day
2782,all-day
864,all-day
796,all-day
29,all-day
75,all-day
0,all-day
0,all-day
-150,all-day
-67,all-day
49,all-day
6609,all-day
-509,all-day
143,all-day
517,all-day
1204,all-day
171,all-day
2618,all-day
63,all-day
482,all-day
-113,all-day
1096,all-day
244,all-day
409,all-day
6049,all-day
6949,all-day
4156,all-day
221,all-day
3297,all-day
2259,all-day
2681,all-day
6429,all-day
2259,all-day
2681,all-day
6429,all-day
2863,all-day
403,all-day
-521,all-day
-60,all-day
1694,all-day
4438,all-day
4125,all-day
3947,all-day
973,all-day
59,all-day
-1017,all-day
529,all-day
7961,all-day
3060,all-day
7788,all-day
3332,all-day
259,all-day
24,all-day
16,all-day
2592,all-day
426,all-day
11497,all-day
9893,all-day
1217,all-day
5192,all-day
226,all-day
420,all-day
7944,all-day
656,all-day
-4371,all-day
5882,all-day
7197,all-day
3850,all-day
4205,all-day
5703,all-day
1099,all-day
648,all-day
2170,all-day
-478,all-day
4156,all-day
2980,all-day
5207,all-day
703,all-day
698,all-day
1081,all-day
269,all-day
1169,all-day
1068,all-day
637,all-day
326,all-day
1743,all-day
-1210,all-day
5582,all-day
6489,work-day
4356,work-day
505,work-day
-10089,work-day
1660,work-day
5910,work-day
7298,work-day
14034,work-day
14034,work-day
3859,work-day
10610,work-day
5466,work-day
751,work-day
5319,work-day
17047,work-day
24027,work-day
13376,work-day
-2278,work-day
48168,work-day
-63010,work-day
659,work-day
18631,work-day
34060,work-day
7595,work-day
17047,work-day
12567,work-day
17228,work-day
10598,work-day
8811,work-day
9782,work-day
405,work-day
892,work-day
14887,work-day
6575,work-day
371,work-day
1919,work-day
101,work-day
2767,work-day
71,work-day
2065,work-day
-2141,work-day
1998,work-day
5114,work-day
3383,work-day
6112,work-day
1045,work-day
2276,other
-177,other
18441,other
1254,other
9653,other
1036,other
13508,other
-3598,other
