Cyclic dependency,God component,Ambiguous interface,Feature concentration,Unstable dependency,Scattered functionality,Dense structure,Imperative abstraction,Multifaceted abstraction,Unnecessary abstraction,Unutilized abstraction,Feature envy,Deficient encapsulation,Unexploited encapsulation,Broken modularization,Cyclically-dependent modularization,Hub-like modularization,Insufficient modularization,Broken hierarchy,Cyclic hierarchy,Deep hierarchy,Missing hierarchy,Multipath hierarchy,Rebellious hierarch,Wide hierarchy,Abstract function call from constructor,Complex conditional,Complex method,Empty catch clause,Long identifier,Long method,Long parameter list,Long statement,Magic number,Missing default,tactic
-9,5,0,3,8,0,0,2,1,22,278,40,110,1,9,54,4,81,72,-3,0,87,0,3,1,0,43,431,73,58,20,223,2037,2617,218,Floss
76,3,-1,0,18,0,0,0,12,-35,202,56,237,-2,-5,103,3,128,14,-2,0,-84,2,2,-2,0,16,799,-30,87,41,212,1377,13620,467,Floss
19,-4,0,11,6,0,0,2,-1,-10,-586,0,-227,0,-4,-217,0,-235,3,3,0,1,2,-1,1,-1,2,-1807,-100,-35,-18,-471,-1419,-8930,-1059,Floss
18,6,0,-1,5,0,0,3,1,1,261,90,181,0,3,14,3,36,103,1,0,0,0,1,9,0,31,56,168,63,8,50,569,2061,5,Floss
-18,5,0,6,-3,0,0,4,1,14,267,80,92,2,2,3,1,29,55,0,0,2,0,1,2,2,3,60,212,104,9,-2,702,2449,-5,Floss
18,0,0,4,2,0,0,0,0,7,17,79,59,0,1,9,3,14,7,2,2,0,0,8,0,1,18,10,-10,29,4,42,175,428,14,Floss
48,14,0,19,17,0,0,-1,4,-5,174,40,390,1,-1,14,1,82,58,7,0,0,-2,6,1,0,83,147,32,177,11,80,1103,2981,71,Floss
-70,-4,-1,-47,-31,0,0,-8,-4,-30,-396,-21,-109,-2,-6,-35,0,-108,-114,-5,0,-6,-5,0,1,0,-132,-236,-186,-76,-23,-173,-1907,-1241,-20,Floss
92,7,1,79,38,0,0,11,5,216,864,26,267,3,9,49,0,124,172,9,18,7,5,2,7,0,190,306,279,178,32,265,2255,1793,35,Floss
311,8,0,120,110,0,0,9,11,12,695,65,265,1,16,101,7,141,383,2,0,0,-1,4,7,3,173,462,88,450,42,838,3265,2586,236,Floss
107,13,0,19,17,0,0,8,-6,-26,-59,25,365,0,-3,35,4,37,57,4,0,0,0,0,7,1,61,118,-63,33,-6,239,672,-243,155,Floss
-15,0,1,-3,-5,0,0,-1,0,21,124,-18,11,2,-2,-4,-1,11,27,-1,0,0,0,-1,3,0,-15,16,1,41,5,17,194,74,1,Floss
157,16,0,41,43,0,1,3,6,64,366,93,202,5,25,83,9,156,192,12,0,6,2,7,8,1,169,328,489,957,29,601,3708,10488,103,Floss
202,16,0,22,49,0,0,4,0,65,330,43,326,2,12,70,12,161,187,7,0,1,7,2,5,3,97,227,72,351,17,120,4444,-989,45,Floss
62,7,0,10,13,0,0,4,1,33,200,6,138,1,11,21,7,66,103,5,0,4,1,5,4,1,77,66,12,165,4,59,2676,967,20,Floss
