bool,rhythm-project
0,all-day-Vibrant
1,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
1,all-day-Vibrant
0,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
1,all-day-Vibrant
0,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
0,all-day-Maintaining
1,all-day-Obsolete
0,all-day-Growing
0,work-day-Vibrant
1,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
1,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
0,work-day-Vibrant
0,work-day-Maintaining
1,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
0,all-day-Maintaining
0,all-day-Obsolete
1,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
1,all-day-Vibrant
0,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
1,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
0,all-day-Maintaining
1,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
0,all-day-Maintaining
1,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
1,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
0,all-day-Maintaining
0,all-day-Obsolete
1,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
0,all-day-Maintaining
0,all-day-Obsolete
1,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
1,all-day-Vibrant
0,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
1,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
1,all-day-Vibrant
0,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
1,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
1,all-day-Vibrant
0,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
1,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
1,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
0,all-day-Maintaining
0,all-day-Obsolete
1,all-day-Growing
1,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
0,work-day-Growing
0,all-day-Vibrant
1,all-day-Maintaining
0,all-day-Obsolete
0,all-day-Growing
0,work-day-Vibrant
0,work-day-Maintaining
0,work-day-Obsolete
1,work-day-Growing
1,all-day-Vibrant
0,all-day-Maintaining
